Report Date/Time: 02/04/2015 11:18 AM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,Page Number 1
,,,,,"2015 January Voter Registration - January 1, 2015",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,county,Precincts,Date/Period,Americans ,,Green,Democratic,Libertarian,Republican,Other,TOTAL
,Apache,45,14-Jan,1,,*,26941,153,7704,12457,47256
,Apache,45,G.E. 2014,4,,*,26351,148,7267,12411,46181
,Apache,45,15-Jan,5,,33,26744,143,7350,12418,46693
,Cochise,49,14-Jan,7,,*,20881,425,27876,26119,75308
,Cochise,49,G.E. 2014,11,,*,18784,431,25463,23923,68612
,Cochise,49,15-Jan,14,,112,18844,441,25743,24344,69498
,Coconino,71,14-Jan,4,,*,25565,782,17635,23166,67152
,Coconino,71,G.E. 2014,5,,*,26055,776,17863,26020,70719
,Coconino,71,15-Jan,5,,235,26267,790,17893,25824,71014
,Gila,39,14-Jan,2,,*,10266,147,11262,8046,29723
,Gila,39,G.E. 2014,2,,*,9717,160,11110,8483,29472
,Gila,39,15-Jan,2,,23,9779,165,11311,8677,29957
,Graham,22,14-Jan,1,,*,6054,60,7806,4215,18136
,Graham,22,G.E. 2014,2,,*,5727,58,7454,4300,17541
,Graham,22,15-Jan,2,,8,5699,59,7422,4324,17514
,Greenlee,8,14-Jan,0,,*,2246,20,1112,1112,4490
,Greenlee,8,G.E. 2014,0,,*,2115,22,1094,1151,4382
,Greenlee,8,15-Jan,0,,3,2102,23,1100,1151,4379
,La Paz,11,14-Jan,1,,*,2337,33,3318,3380,9069
,La Paz,11,G.E. 2014,1,,*,2228,39,3289,3504,9061
,La Paz,11,15-Jan,1,,14,2203,41,3279,3512,9050
,Maricopa,724,14-Jan,208,,*,533254,17173,709130,690233,1949998
,Maricopa,724,G.E. 2014,298,,*,515376,17205,694850,708000,1935729
,Maricopa,724,15-Jan,311,,2366,510481,17171,690900,712319,1933548
,Mohave,73,14-Jan,9,,*,23188,606,45781,43598,113182
,Mohave,73,G.E. 2014,14,,*,23072,664,46633,47214,117597
,Mohave,73,15-Jan,16,,108,22707,669,46422,47857,117779
,Navajo,61,14-Jan,4,,*,23887,361,18376,15987,58615
,Navajo,61,G.E. 2014,8,,*,22979,366,17523,15849,56725
,Navajo,61,15-Jan,8,,44,23008,369,17506,15955,56890
,Pima,288,14-Jan,49,,*,178748,3878,146686,154626,483987
,Pima,248,G.E. 2014,57,,*,179046,4026,151097,164431,498657
,Pima,248,15-Jan,65,,1656,181113,4103,153220,166075,506232
,Pinal,102,14-Jan,16,,*,44926,1110,53193,61037,160282
,Pinal,102,G.E. 2014,15,,*,43310,1114,51801,62100,158340
,Pinal,102,15-Jan,14,,150,43186,1129,52021,63137,159637
,Santa Cruz,24,14-Jan,0,,*,11825,133,3865,7661,23484
,Santa Cruz,24,G.E. 2014,0,,*,11385,124,3661,7499,22669
,Santa Cruz,24,15-Jan,0,,29,11432,123,3686,7612,22882
,Yavapai,107,14-Jan,9,,*,25451,930,53738,41963,122091
,Yavapai,45,G.E. 2014,10,,*,24676,944,53512,44159,123301
,Yavapai,45,15-Jan,10,,238,24678,960,53901,44452,124239
,Yuma,42,14-Jan,6,,*,27259,576,23781,30398,82020
,Yuma,44,G.E. 2014,6,,*,25596,512,22096,28767,76977
,Yuma,44,15-Jan,8,,32,25640,520,22237,29426,77863
